FileName,pred_motif,exp_motif,similarity_score
fold_rncmpt00166_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00147_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00287_minprobe_s1_model_0.cif,16-21,21-27,0.16666666666666666
fold_rncmpt00291_maxprobe_s1_model_0.cif,1-24,28-34,0.0
fold_rncmpt00122_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00265_minprobe_s1_model_0.cif,1-27,21-27,0.25925925925925924
fold_rncmpt00114_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00291_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00146_minprobe_s1_model_0.cif,16-22,29-35,0.0
fold_rncmpt00002_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00147_maxprobe_s1_model_0.cif,26-30,22-28,0.6
fold_rncmpt00004_minprobe_s1_model_0.cif,1-35,18-24,0.2
fold_rncmpt00001_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00265_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00131_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00144_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00114_maxprobe_s1_model_0.cif,7-35,20-26,0.2413793103448276
fold_rncmpt00001_maxprobe_s1_model_0.cif,1-32,28-34,0.15625
fold_rncmpt00187_maxprobe_s1_model_0.cif,1-20,5-11,0.35
fold_rncmpt00006_min7mer_s1_model_0.cif,2-7,1-7,1.0
fold_rncmpt00129_minprobe_s1_model_0.cif,5-20,7-13,0.4375
fold_rncmpt00002_minprobe_s1_model_0.cif,11-15,3-9,0.0
fold_rncmpt00129_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00004_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00123_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00166_minprobe_s1_model_0.cif,7-35,6-12,0.20689655172413793
fold_rncmpt00287_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00146_max7mer_s1_model_0.cif,3-7,1-7,1.0
fold_rncmpt00187_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00007_maxprobe_s1_model_0.cif,5-33,12-18,0.2413793103448276
fold_rncmpt00003_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00009_max7mer_s1_model_0.cif,1-6,1-7,1.0
fold_rncmpt00270_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00144_minprobe_s1_model_0.cif,17-24,26-32,0.0
fold_rncmpt00180_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00134_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00123_maxprobe_s1_model_0.cif,6-16,30-36,0.0
fold_rncmpt00122_minprobe_s1_model_0.cif,11-27,26-32,0.11764705882352941
fold_rncmpt00009_minprobe_s1_model_0.cif,1-18,4-10,0.3888888888888889
fold_rncmpt00180_minprobe_s1_model_0.cif,10-20,11-17,0.6363636363636364
fold_rncmpt00010_maxprobe_s1_model_0.cif,9-35,4-10,0.07407407407407407
fold_rncmpt00134_maxprobe_s1_model_0.cif,1-12,25-31,0.0
fold_rncmpt00006_minprobe_s1_model_0.cif,5-19,24-30,0.0
fold_rncmpt00010_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00284_maxprobe_s1_model_0.cif,1-8,3-9,0.75
fold_rncmpt00007_max7mer_s1_model_0.cif,2-7,1-7,1.0
fold_rncmpt00270_minprobe_s1_model_0.cif,13-26,17-23,0.5
fold_rncmpt00131_minprobe_s1_model_0.cif,17-25,9-15,0.0
fold_rncmpt00003_maxprobe_s1_model_0.cif,2-36,20-26,0.2
fold_rncmpt00284_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00287_maxprobe_s1_model_0.cif,6-28,6-12,0.30434782608695654
fold_rncmpt00131_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00265_max7mer_s1_model_0.cif,2-7,1-7,1.0
fold_rncmpt00144_max7mer_s1_model_0.cif,1-6,1-7,1.0
fold_rncmpt00006_max7mer_s1_model_0.cif,2-7,1-7,1.0
fold_rncmpt00265_maxprobe_s1_model_0.cif,4-26,3-9,0.2608695652173913
fold_rncmpt00291_minprobe_s1_model_0.cif,4-30,20-26,0.25925925925925924
fold_rncmpt00001_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00146_maxprobe_s1_model_0.cif,1-19,3-9,0.3684210526315789
fold_rncmpt00004_maxprobe_s1_model_0.cif,2-35,6-12,0.20588235294117646
fold_rncmpt00147_minprobe_s1_model_0.cif,2-13,25-31,0.0
fold_rncmpt00114_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00291_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00002_max7mer_s1_model_0.cif,2-6,1-7,1.0
fold_rncmpt00114_minprobe_s1_model_0.cif,3-29,10-16,0.25925925925925924
fold_rncmpt00147_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00001_minprobe_s1_model_0.cif,2-30,23-29,0.2413793103448276
fold_rncmpt00166_min7mer_s1_model_0.cif,2-7,1-7,1.0
fold_rncmpt00122_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00187_minprobe_s1_model_0.cif,3-37,27-33,0.2
